time_step,vehicle_id,role,speed_mps,acceleration,x,y,space_headway,ref_vels
22,veh2,Follower2,0.1915,1.649,48.0422,-1.6,4.7334,2.1915
22,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0218,2.0
22,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
22,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
22,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
23,veh0,Leader,1.5307,0.4735,74.1067,-1.6,0.0,
23,veh1,Follower1,1.3409,1.0127,60.9097,-1.6,5.197,3.3409
23,veh2,Follower2,0.3857,1.9426,48.0808,-1.6,4.8289,2.3857
23,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0604,2.0
23,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
23,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
23,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
24,veh0,Leader,1.5944,0.6376,74.2661,-1.6,0.0,
24,veh1,Follower1,1.4225,0.8153,61.0519,-1.6,5.2142,3.4225
24,veh2,Follower2,0.588,2.0229,48.1396,-1.6,4.9123,2.588
24,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.1192,2.0
24,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
24,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
24,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
25,veh0,Leader,1.6556,0.6111,74.4317,-1.6,0.0,
25,veh1,Follower1,1.5183,0.9582,61.2038,-1.6,5.2279,3.5183
25,veh2,Follower2,0.7821,1.9401,48.2178,-1.6,4.986,2.7821
25,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.1974,2.0
25,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
25,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
25,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
26,veh0,Leader,1.7194,0.6389,74.6036,-1.6,0.0,
26,veh1,Follower1,1.6068,0.8849,61.3644,-1.6,5.2392,3.6068
26,veh2,Follower2,0.9838,2.0172,48.3162,-1.6,5.0483,2.9838
26,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.2958,2.0
26,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
26,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
26,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
27,veh0,Leader,1.7809,0.6148,74.7817,-1.6,0.0,
27,veh1,Follower1,1.6946,0.8784,61.5339,-1.6,5.2478,3.6946
27,veh2,Follower2,1.1746,1.9081,48.4336,-1.6,5.1003,3.1746
27,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.4132,2.0
27,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
27,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
27,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
28,veh0,Leader,1.8281,0.4718,74.9645,-1.6,0.0,
28,veh1,Follower1,1.7757,0.8109,61.7115,-1.6,5.253,3.7757
28,veh2,Follower2,1.3563,1.8171,48.5693,-1.6,5.1422,3.3563
28,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.5489,2.0
28,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
28,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
28,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
29,veh0,Leader,1.8756,0.4744,75.1521,-1.6,0.0,
29,veh1,Follower1,1.836,0.6031,61.8951,-1.6,5.257,3.836
29,veh2,Follower2,1.5205,1.642,48.7213,-1.6,5.1738,3.5205
29,veh3,Follower3,0.0884,0.8835,36.0292,-1.6,4.6921,2.0884
29,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0088,2.0
29,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
29,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
30,veh0,Leader,1.9531,0.7754,75.3474,-1.6,0.0,
30,veh1,Follower1,1.8938,0.5783,62.0845,-1.6,5.2629,3.8938
30,veh2,Follower2,1.6494,1.2888,48.8863,-1.6,5.1982,3.6494
30,veh3,Follower3,0.3894,3.0104,36.0682,-1.6,4.8181,2.3894
30,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0478,2.0
30,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
30,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
31,veh0,Leader,2.0171,0.6401,75.5491,-1.6,0.0,
31,veh1,Follower1,1.9865,0.9269,62.2831,-1.6,5.266,3.9865
31,veh2,Follower2,1.7631,1.1368,49.0626,-1.6,5.2206,3.7631
31,veh3,Follower3,0.6995,3.1009,36.1381,-1.6,4.9244,2.6995
31,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.1177,2.0
31,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
31,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
32,veh0,Leader,2.095,0.7787,75.7586,-1.6,0.0,
32,veh1,Follower1,2.0591,0.7253,62.489,-1.6,5.2696,4.0591
32,veh2,Follower2,1.9085,1.4549,49.2534,-1.6,5.2356,3.9085
32,veh3,Follower3,0.9977,2.9823,36.2379,-1.6,5.0155,2.9977
32,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.2175,2.0
32,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
32,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
33,veh0,Leader,2.1563,0.6128,75.9742,-1.6,0.0,
33,veh1,Follower1,2.1462,0.8716,62.7036,-1.6,5.2706,4.1462
33,veh2,Follower2,2.0195,1.1101,49.4554,-1.6,5.2483,4.0195
33,veh3,Follower3,1.3118,3.1411,36.3691,-1.6,5.0863,3.3118
33,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.3487,2.0
33,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
33,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
34,veh0,Leader,2.22,0.6376,76.1962,-1.6,0.0,
34,veh1,Follower1,2.2108,0.6462,62.9247,-1.6,5.2715,4.2108
34,veh2,Follower2,2.1413,1.2174,49.6695,-1.6,5.2552,4.1413
